Ps,Trial ,Score,total,FN
58,4,7,8,spaced
59,1,1,8,spaced
59,2,2,8,spaced
59,3,2,8,spaced
59,4,3,8,spaced
60,1,2,8,spaced
60,2,6,8,spaced
60,3,8,8,spaced
60,4,8,8,spaced
61,1,4,8,spaced
61,2,7,8,spaced
61,3,8,8,spaced
61,4,8,8,spaced
1,1,4,8,massed
1,2,3,8,massed
1,3,6,8,massed
1,4,6,8,massed
2,1,1,8,massed
2,2,2,8,massed
2,3,2,8,massed
2,4,2,8,massed
3,1,1,8,massed
3,2,5,8,massed
3,3,5,8,massed
3,4,6,8,massed
4,1,2,8,massed
4,2,3,8,massed
4,3,5,8,massed
4,4,4,8,massed
5,1,1,8,massed
5,2,4,8,massed
5,3,2,8,massed
5,4,6,8,massed
6,1,1,8,massed
6,2,2,8,massed
6,3,2,8,massed
6,4,5,8,massed
7,1,2,8,massed
7,2,2,8,massed
7,3,2,8,massed
7,4,2,8,massed
8,1,3,8,massed
8,2,3,8,massed
8,3,4,8,massed
8,4,3,8,massed
9,1,1,8,massed
9,2,1,8,massed
9,3,3,8,massed
9,4,5,8,massed
10,1,2,8,massed
10,2,2,8,massed
10,3,4,8,massed
10,4,6,8,massed
11,1,2,8,massed
11,2,6,8,massed
11,3,7,8,massed
11,4,7,8,massed
12,1,2,8,massed
12,2,2,8,massed
12,3,5,8,massed
12,4,4,8,massed
13,1,1,8,massed
13,2,4,8,massed
13,3,6,8,massed
13,4,7,8,massed
14,1,0,8,massed
14,2,0,8,massed
14,3,3,8,massed
14,4,3,8,massed
15,1,5,8,massed
15,2,6,8,massed
15,3,7,8,massed
15,4,6,8,massed
16,1,3,8,massed
16,2,4,8,massed
16,3,6,8,massed
16,4,7,8,massed
17,1,2,8,massed
17,2,2,8,massed
17,3,2,8,massed
17,4,1,8,massed
18,1,1,8,massed
18,2,2,8,massed
18,3,2,8,massed
18,4,4,8,massed
19,1,0,8,massed
19,2,2,8,massed
19,3,2,8,massed
19,4,3,8,massed
20,1,1,8,massed
20,2,3,8,massed
20,3,3,8,massed
