Ps,Trial ,Score,Age
43,5,159.137809,18-20
44,1,32.02848514,18-20
44,2,77.14818013,18-20
44,3,56.85461718,18-20
44,4,87.59792567,18-20
44,5,126.9805544,18-20
45,1,31.43612599,18-20
45,2,76.51596082,18-20
45,3,56.3803979,18-20
45,4,74.70725182,18-20
45,5,99.73573696,18-20
46,1,33.20005802,18-20
46,2,75.58172247,18-20
46,3,59.91813909,18-20
46,4,83.21998629,18-20
46,5,136.3973199,18-20
47,1,34.96399004,18-20
47,2,77.82635082,18-20
47,3,79.16715127,18-20
47,4,87.92028669,18-20
47,5,117.2507502,18-20
48,1,31.85691227,18-20
48,2,77.04537647,18-20
48,3,60.65657398,18-20
48,4,120.5494117,18-20
48,5,146.1701463,18-20
49,1,31.02848514,18-20
49,2,78.04927338,18-20
49,3,61.78215769,18-20
49,4,79.85306908,18-20
49,5,113.0438786,18-20
50,1,31.61427158,18-20
50,2,76.31707721,18-20
50,3,57.98546641,18-20
50,4,89.30121279,18-20
50,5,106.7340203,18-20
51,1,31.97056275,18-20
51,2,83.82747501,18-20
51,3,97.58483433,18-20
51,4,95.46680544,18-20
51,5,107.1433778,18-20
52,1,32.61427158,18-20
52,2,77.8803763,18-20
52,3,56.7269578,18-20
52,4,81.61399131,18-20
52,5,142.5444495,18-20
53,1,31.79241716,18-20
53,2,80.40231034,18-20
53,3,59.50719381,18-20
53,4,81.93674709,18-20
53,5,126.9652322,18-20
54,1,31.02848514,18-20
54,2,77.52408513,18-20
54,3,60.20823255,18-20
54,4,81.88582482,18-20
54,5,131.1696146,18-20
55,1,32.61427158,18-20
55,2,76.30388508,18-20
55,3,63.7513861,18-20
55,4,131.3296477,18-20
55,5,190.9222759,18-20
56,1,31.79241716,18-20
56,2,75.82094901,18-20
56,3,60.90344207,18-20
56,4,82.50704631,18-20
56,5,100.319275,18-20
57,1,31.85033956,18-20
57,2,75.60619748,18-20
57,3,56.73551817,18-20
57,4,105.0897798,18-20
57,5,159.137809,18-20
58,1,32.02848514,18-20
58,2,77.14818013,18-20
58,3,56.85461718,18-20
58,4,87.59792567,18-20
58,5,126.9805544,18-20
59,1,31.43612599,18-20
59,2,76.51596082,18-20
59,3,56.3803979,18-20
59,4,74.70725182,18-20
59,5,99.73573696,18-20
60,1,31.79241716,18-20
60,2,74.96346184,18-20
60,3,61.33562093,18-20
60,4,85.51596082,18-20
60,5,124.5522398,18-20
1,1,31.25798041,21-40
1,2,76.84981135,21-40
1,3,71.57543482,21-40
1,4,116.323075,21-40
1,5,210.9545069,21-40
2,1,30.85033956,21-40
2,2,76.08587933,21-40
2,3,57.37435691,21-40
2,4,84.51211412,21-40
2,5,102.2436948,21-40
3,1,33.20005802,21-40
3,2,75.57830833,21-40
3,3,58.41758227,21-40
3,4,93.39033932,21-40
3,5,119.3548611,21-40
4,1,32.02848514,21-40
4,2,77.04927338,21-40
4,3,60.31862882,21-40
4,4,82.59519965,21-40
4,5,130.9445911,21-40
5,1,32.43612599,21-40
5,2,80.80508109,21-40
5,3,57.98088137,21-40
5,4,87.84766727,21-40
5,5,124.7396806,21-40
6,1,31.02848514,21-40
6,2,76.4394947,21-40
6,3,59.47545796,21-40
6,4,88.01213923,21-40
6,5,130.8659307,21-40
7,1,31.20663073,21-40
7,2,75.65754716,21-40
7,3,64.16682078,21-40
7,4,90.69329314,21-40
7,5,137.5930766,21-40
8,1,31.02848514,21-40
8,2,76.15479955,21-40
8,3,59.3159028,21-40
8,4,86.74176039,21-40
8,5,150.4089543,21-40
9,1,32.55634919,21-40
9,2,77.10987157,21-40
9,3,62.15635116,21-40
9,4,79.49314299,21-40
9,5,116.5861057,21-40
10,1,31.43612599,21-40
10,2,76.69853152,21-40
10,3,59.74326178,21-40
10,4,83.82309661,21-40
10,5,99.16737006,21-40
11,1,31.43612599,21-40
11,2,76.53727726,21-40
11,3,64.02079175,21-40
11,4,95.1229162,21-40
11,5,115.9181208,21-40
12,1,32.62084429,21-40
12,2,75.85253386,21-40
12,3,61.33562093,21-40
12,4,112.9138825,21-40
12,5,122.735737,21-40
13,1,33.72792206,21-40
13,2,78.7564072,21-40
13,3,64.03505785,21-40
13,4,94.18376618,21-40
13,5,134.4417466,21-40
14,1,35.27774525,21-40
14,2,77.6269355,21-40
14,3,60.09575297,21-40
14,4,75.37927722,21-40
14,5,130.8223336,21-40
15,1,32.02191243,21-40
15,2,75.6154927,21-40
15,3,175.2400864,21-40
15,4,89.21272545,21-40
15,5,136.051094,21-40
16,1,38.78312195,21-40
16,2,85.53118605,21-40
16,3,58.55854349,21-40
16,4,86.29523256,21-40
16,5,109.8581545,21-40
17,1,31.20663073,21-40
17,2,75.68753369,21-40
17,3,58.77387344,21-40
17,4,76.88817013,21-40
17,5,123.3043985,21-40
18,1,33.14213562,21-40
18,2,77.90943636,21-40
18,3,59.00487361,21-40
18,4,84.22314486,21-40
18,5,111.3945472,21-40
19,1,31.97056275,21-40
19,2,75.62303859,21-40
19,3,64.88529311,21-40
19,4,123.561535,21-40
19,5,132.5777836,21-40
20,1,34.38477631,21-40
20,2,78.6296113,21-40
20,3,64.21539774,21-40
20,4,106.1094944,21-40
20,5,133.6222483,21-40
21,1,33.72792206,21-40
21,2,80.7520288,21-40
21,3,81.20663073,21-40
21,4,82.9433198,21-40
21,5,149.5369211,21-40
22,1,32.43612599,21-40
22,2,76.74545609,21-40
22,3,86.78803876,21-40
22,4,87.29961097,21-40
22,5,105.5018633,21-40
23,1,31.38477631,21-40
23,2,80.1811371,21-40
23,3,64.18882535,21-40
23,4,90.30783221,21-40
23,5,104.1678624,21-40
24,1,31.79241716,21-40
24,2,76.74545609,21-40
24,3,67.39354332,21-40
24,4,90.65152373,21-40
24,5,124.7870866,21-40
